date,close,high,low,open,volume
2010-01-04,23.1733455657959,23.28565551439861,22.903800546670613,22.926263107630543,38409100
2010-01-05,23.18083000183105,23.28565385072298,22.941235081103866,23.098470140392568,49749600
2010-01-06,23.03857421875,23.27068164798744,22.851390485600778,23.120934090228644,58182400
2010-01-07,22.798982620239254,22.98616638090428,22.604311337775783,22.933753728315114,50559700
2010-01-08,22.956209182739254,23.120930326984503,22.64174050510865,22.67169058302505,51197400
2010-01-11,22.664201736450195,23.03108160085364,22.551891807036608,22.993644005650285,68754700
2010-01-12,22.514463424682617,22.76154594173721,22.394665927207598,22.57436217342013,65912100
2010-01-13,22.724098205566406,22.851383160429737,22.469528295839748,22.65671196898593,51863500
2010-01-14,23.18083000183105,23.28565385072298,22.656716469764923,22.694152640591657,63228100
2010-01-15,23.10595703125,23.39047563484455,22.993645665630087,23.270678177741758,79913200
2010-01-19,23.28565788269043,23.39048032163424,22.971189137760383,23.023600357232286,46575700
2010-01-20,22.9038028717041,23.16586039711165,22.69415656575833,23.06852405116952,54849500
2010-01-21,22.469532012939453,23.001133047129464,22.462044493403187,22.91877318842718,73086700
2010-01-22,21.6833610534668,22.611793544872384,21.593513669200725,22.462046000297697,102004600
2010-01-25,21.952903747558597,22.20747368963246,21.788182608374797,21.89300502166464,63373000
2010-01-26,22.087682723999023,22.349740262276377,21.78070148513371,21.863062792960545,66639900
2010-01-27,22.21495819091797,22.32726810819923,21.728280930633773,21.975363319891784,63949500
2010-01-28,21.833101272583008,22.36470359217096,21.630942583665146,22.342241039591883,117513700
2010-01-29,21.09935760498047,22.4021566470608,20.71001496856133,22.38718160071413,193888500
2010-02-01,21.27155494689941,21.32396615290845,20.904675076737867,21.25657990858304,85931100
2010-02-02,21.308990478515625,21.338940554254357,21.06939558499866,21.241605664299914,54413700
2010-02-03,21.436279296875,21.556078193262728,21.054425759264543,21.159248186993025,61397900
2010-02-04,20.844772338867188,21.33893708339265,20.82230978571676,21.24908829888894,77850000
2010-02-05,20.979551315307617,21.17422255209223,20.64262005393071,20.964576275224548,80960100
2010-02-08,20.75493049621582,21.02447551178306,20.642620549095625,20.97206429833353,52820600
2010-02-09,20.97206115722656,21.21914357512341,20.777389944929308,20.942111080827797,59195800
2010-02-10,20.95709228515625,21.14427603342821,20.84478232181281,20.987042370367124,48591300
2010-02-11,21.054431915283203,21.26407683203738,20.73996311205305,20.91217184455795,65993700
